variable,coef,param_estimate,std_error,p_value
Intercept,𝛽0,0.239,0.029,< 0.1%
Term 15,𝛽1,-0.185,0.017,< 0.1%
Attained age,𝛽2,0.57,0.008,< 0.1%
Attained age² ,𝛽3,0.049,0.005,< 0.1%
Risk class: Residual SM,𝛽4,0.558,0.021,< 0.1%
Risk class: Preferred SM,𝛽5,0.41,0.022,< 0.1%
Risk class: Residual NS,𝛽6,0.085,0.011,< 0.1%
Risk class: Super Preferred NS,𝛽7,0.143,0.014,< 0.1%
Face amount $0-100K,𝛽8,-0.21,0.012,< 0.1%
Face amount $251-500K,𝛽9,0.087,0.013,< 0.1%
Face amount $501K+,𝛽10,0.173,0.016,< 0.1%
Premium mode: Quarterly,𝛽11,0.638,0.013,< 0.1%
Premium mode: Semi-annual,𝛽12,1.109,0.022,< 0.1%
Premium mode: Annual,𝛽13,1.27,0.014,< 0.1%
Billing type: Bill Sent,𝛽14,0.484,0.046,< 0.1%
Billing type: Automatic payment changed to Bill Sent,𝛽15,0.8,0.145,< 0.1%
Premium jump 1.01x-1.50x × Billing type: Automatic payment,𝛽16,-1.31,0.037,< 0.1%
Premium jump 1.51x-2.00x × Billing type: Automatic payment,𝛽17,-1.198,0.03,< 0.1%
Premium jump 2.01x-2.50x × Billing type: Automatic payment,𝛽18,-0.908,0.03,< 0.1%
Premium jump 2.51x-3.00x × Billing type: Automatic payment,𝛽19,-0.54,0.033,< 0.1%
Premium jump 3.01x-3.50x × Billing type: Automatic payment,𝛽20,-0.413,0.035,< 0.1%
Premium jump 3.51x-4.00x × Billing type: Automatic payment,𝛽21,-0.375,0.037,< 0.1%
Premium jump 4.01x-4.50x × Billing type: Automatic payment,𝛽22,-0.212,0.037,< 0.1%
Premium jump 5.01x-5.50x × Billing type: Automatic payment,𝛽23,0.071,0.039,< 0.1%
Premium jump 5.51x-6.00x × Billing type: Automatic payment,𝛽24,0.28,0.04,< 0.1%
Premium jump 6.01x-7.00x × Billing type: Automatic payment,𝛽25,0.427,0.036,< 0.1%
Premium jump 7.01x-8.00x × Billing type: Automatic payment,𝛽26,0.469,0.039,< 0.1%
Premium jump 8.01x-10.00x × Billing type: Automatic payment,𝛽27,0.57,0.038,< 0.1%
Premium jump 10.01x-14.00x × Billing type: Automatic payment,𝛽28,0.353,0.04,< 0.1%
Premium jump 14.01x+ × Billing type: Automatic payment,𝛽29,0.04,0.052,44%
Premium jump 1.01x-1.50x × Billing type: Bill Sent,𝛽30,-0.772,0.064,< 0.1%
Premium jump 1.51x-2.00x × Billing type: Bill Sent,𝛽31,-0.666,0.053,< 0.1%
Premium jump 2.01x-2.50x × Billing type: Bill Sent,𝛽32,-0.548,0.054,< 0.1%
Premium jump 2.51x-3.00x × Billing type: Bill Sent,𝛽33,-0.229,0.062,< 0.1%
Premium jump 3.01x-3.50x × Billing type: Bill Sent,𝛽34,0.001,0.068,98%
Premium jump 3.51x-4.00x × Billing type: Bill Sent,𝛽35,0.197,0.067,< 0.1%
Premium jump 4.01x-4.50x × Billing type: Bill Sent,𝛽36,0.05,0.065,44%
Premium jump 5.01x-5.50x × Billing type: Bill Sent,𝛽37,0.136,0.065,4%
Premium jump 5.51x-6.00x × Billing type: Bill Sent,𝛽38,-0.052,0.066,43%
Premium jump 6.01x-7.00x × Billing type: Bill Sent,𝛽39,-0.007,0.059,90%
Premium jump 7.01x-8.00x × Billing type: Bill Sent,𝛽40,0.038,0.061,54%
Premium jump 8.01x-10.00x × Billing type: Bill Sent,𝛽41,0.098,0.059,9%
Premium jump 10.01x-14.00x × Billing type: Bill Sent,𝛽42,0.461,0.059,< 0.1%
Premium jump 14.01x+ × Billing type: Bill Sent,𝛽43,0.772,0.071,< 0.1%
Premium jump 1.01x-1.50x × Billing type: Automatic payment changed to Bill Sent,𝛽44,1.648,0.476,97.6%
Premium jump 1.51x-2.00x × Billing type: Automatic payment changed to Bill Sent,𝛽45,1.664,0.293,7.9%
Premium jump 2.01x-2.50x × Billing type: Automatic payment changed to Bill Sent,𝛽46,0.781,0.245,1.5%
Premium jump 2.51x-3.00x × Billing type: Automatic payment changed to Bill Sent,𝛽47,0.477,0.221,4.6%
Premium jump 3.01x-3.50x × Billing type: Automatic payment changed to Bill Sent,𝛽48,0.683,0.223,0.5%
Premium jump 3.51x-4.00x × Billing type: Automatic payment changed to Bill Sent,𝛽49,0.304,0.213,15%
Premium jump 4.01x-4.50x × Billing type: Automatic payment changed to Bill Sent,𝛽50,0.368,0.214,9%
Premium jump 5.01x-5.50x × Billing type: Automatic payment changed to Bill Sent,𝛽51,0.122,0.2,54%
Premium jump 5.51x-6.00x × Billing type: Automatic payment changed to Bill Sent,𝛽52,0.422,0.217,5%
Premium jump 6.01x-7.00x × Billing type: Automatic payment changed to Bill Sent,𝛽53,0.642,0.192,< 0.1%
Premium jump 7.01x-8.00x × Billing type: Automatic payment changed to Bill Sent,𝛽54,0.701,0.193,< 0.1%
Premium jump 8.01x-10.00x × Billing type: Automatic payment changed to Bill Sent,𝛽55,0.712,0.174,< 0.1%
Premium jump 10.01x-14.00x × Billing type: Automatic payment changed to Bill Sent,𝛽56,1.305,0.173,< 0.1%
Premium jump 14.01x+ × Billing type: Automatic payment changed to Bill Sent,𝛽57,1.956,0.187,< 0.1%
