variable,coef,param_estimate,std_error,p_value
Intercept,𝛽0,-2.307,0.029,< 0.1%
"ρSLR, the lapse in PLT probability estimated by the SLR model in the first step",𝛽1,5.931,0.066,< 0.1%
Predicted shock lapse probability,𝛽2,-0.008,0.001,< 0.1%
Duration in PLY,𝛽3,-0.034,0.003,< 0.1%
Risk class: Super Preferred NS,𝛽4,0.088,0.015,< 0.1%
Face amount $0-100K,𝛽5,-0.154,0.012,< 0.1%
Face amount $251-500K,𝛽6,0.08,0.013,< 0.1%
Face amount $501K+,𝛽7,0.196,0.018,< 0.1%
Initial premium jump 1.01x-1.50x,𝛽8,-0.359,0.024,< 0.1%
Initial premium jump 1.51x-2.00x,𝛽9,-0.156,0.016,< 0.1%
Initial premium jump 3.01x-3.50x,𝛽10,0.096,0.025,< 0.1%
Initial premium jump 3.51x-4.50x,𝛽11,0.262,0.021,< 0.1%
Initial premium jump 4.51x-7.00x,𝛽12,0.333,0.023,< 0.1%
Initial premium jump 7.01x+,𝛽13,0.43,0.028,< 0.1%
Premium mode: Quarterly,𝛽14,0.66,0.029,< 0.1%
Premium mode: Semi-annual and Annual,𝛽15,0.769,0.027,< 0.1%
ρSLR × Premium mode: Quarterly,𝛽16,-1.589,0.088,< 0.1%
ρSLR × Premium mode: Semi-annual and Annual,𝛽17,-3.08,0.073,< 0.1%
